Date,BDI,VLSFO,BDI_lag_7d,BDI_lag_14d,BDI_lag_30d,BDI_avg_7d_final,BDI_avg_30d_final,BDI_volatility_7d_final,BDI_volatility_30d_final,BDI_relative_volatility_final,BDI_momentum_final,Fuel_momentum_final,BDI_change_7d_pct,BDI_change_14d_pct,BDI_change_30d_pct,BDI_vs_7d_avg_pct,BDI_vs_30d_avg_pct,Fuel_change_7d_pct,BDI_trend_strength,Fuel_lag_1,Fuel_avg_7d_final,Fuel_avg_30d_final,month,quarter,day_of_week,year
2023-06-11,1523,,1560.0,1172.0,3143.0,1308.4,1276.2857142857142,408.62060643095293,275.0200252449095,0.3123055689628194,214.5999999999999,,-2.371794871794872,29.948805460750854,-51.54311167674197,16.401712014674402,19.330646966644284,,13.788505294477991,,,,6,2,6,2023
2023-06-12,2848,,1560.0,1172.0,3143.0,1565.0,1347.7272727272727,727.0749617474115,429.32507184651365,0.46458464009419265,1283.0,,82.56410256410255,143.00341296928326,-9.385937002863507,81.98083067092652,111.31871838111297,,112.7837577666929,,,,6,2,0,2023
2023-06-13,1074,,1016.0,1123.0,3143.0,1574.6666666666667,1335.8260869565217,718.6528137192998,423.31963554031955,0.4563840899995553,-500.66666666666674,,5.708661417322835,-4.363312555654497,-65.82882596245625,-31.79508890770534,-19.600312459315195,,0.672674430834169,,,,6,2,1,2023
2023-06-14,1079,,993.0,977.0,1522.0,1589.0,1316.5652173913043,705.4680715666727,424.5401604396029,0.4439698373610275,-510.0,,8.66062437059416,10.440122824974411,-29.106438896189225,-32.095657646318436,-18.04431821934546,,9.550373597784287,,,,6,2,2,2023
2023-06-15,1094,,993.0,1130.0,1476.0,1518.2857142857142,1299.9565217391305,670.6274957793172,425.4904633330206,0.4417004582663926,-424.2857142857142,,10.171198388721049,-3.185840707964602,-25.880758807588077,-27.945050809183286,-15.843339242115126,,3.4926788403782236,,,,6,2,3,2023
2023-06-16,1076,,1081.0,608.0,1425.0,1517.5714285714287,1284.7826086956522,671.1733152082396,427.0486406745407,0.4422680228238423,-441.57142857142867,,-0.46253469010175763,76.97368421052632,-24.49122807017544,-29.097241833756947,-16.250423011844337,,38.255574760212276,,,,6,2,4,2023
2023-06-19,1065,,2848.0,1560.0,1384.0,1077.6,1264.9545454545455,10.549881515877928,437.9727625008628,0.00979016473262614,-12.599999999999909,,-62.605337078651694,-31.73076923076923,-23.049132947976876,-1.169265033407564,-15.807251428366095,,-47.168053154710464,,,,6,2,0,2023
2023-06-20,1078,,1074.0,1016.0,1384.0,1078.4,1256.8260869565217,10.358571330017682,429.6751047619242,0.009605500120565357,-0.40000000000009095,,0.37243947858473,6.102362204724409,-22.109826589595375,-0.037091988130572226,-14.228387587781507,,3.2374008416545696,,,,6,2,1,2023
2023-06-21,1138,,1079.0,993.0,1365.0,1090.2,1246.9565217391305,28.65658737531537,429.68450140886483,0.026285624083026392,47.799999999999955,,5.4680259499536605,14.602215508559919,-16.630036630036628,4.384516602458261,-8.737796373779643,,10.03512072925679,,,,6,2,2,2023
2023-06-22,1216,,1094.0,993.0,1348.0,1114.6,1241.2173913043478,63.4807057301597,429.1547672218562,0.056953800224438994,101.40000000000009,,11.151736745886655,22.457200402819737,-9.792284866468842,9.097434057060838,-2.03166596609219,,16.804468574353194,,,,6,2,3,2023
